t_TheatreName,p_PerfTitleClean,e_EventId
Bartholomew Fair,The Beggars Opera,1
"China Hall, Lower Road, Rotherhithe",The Devil to Pay,2
Covent Garden,Hamlet,170
Covent Garden,Macbeth,166
Covent Garden,The Beggars Opera,431
Covent Garden,The Devil to Pay,188
Covent Garden,The Stratagem,128
Dorset Garden Theatre,Macbeth,1
Drury Lane Theatre,Hamlet,349
Drury Lane Theatre,Macbeth,244
Drury Lane Theatre,The Beggars Opera,288
Drury Lane Theatre,The Devil to Pay,443
Drury Lane Theatre,The Stratagem,234
Drury Lane at King's Theatre,Macbeth,2
Drury Lane at King's Theatre,The Devil to Pay,14
Front Long Room,The Stratagem,1
Goodman's Fields,Hamlet,48
Goodman's Fields,Macbeth,19
Goodman's Fields,The Beggars Opera,70
Goodman's Fields,The Devil to Pay,78
Goodman's Fields,The Stratagem,37
Greenwich,Hamlet,1
Hampton Court,The Stratagem,1
Haymarket Theatre,Hamlet,29
Haymarket Theatre,Macbeth,2
Haymarket Theatre,The Beggars Opera,106
Haymarket Theatre,The Devil to Pay,35
Haymarket Theatre,The Stratagem,33
Hickford's Room,The Beggars Opera,1
James Street,The Beggars Opera,2
James Street,The Devil to Pay,4
James Street,The Stratagem,2
Lincoln's Inn Fields,Hamlet,55
Lincoln's Inn Fields,Macbeth,36
Lincoln's Inn Fields,The Beggars Opera,48
Lincoln's Inn Fields,The Devil to Pay,15
Lincoln's Inn Fields,The Stratagem,43
"New Wells, Lemon Street",The Devil to Pay,2
"New Wells, London Spa, Clerkenwell",The Beggars Opera,3
"New Wells, London Spa, Clerkenwell",The Stratagem,1
"New Wells, Shepherd's Market",The Stratagem,1
Queen's Theatre,Hamlet,11
Queen's Theatre,The Stratagem,7
Richmond,The Stratagem,1
Southwark,The Beggars Opera,3
Southwark,The Devil to Pay,1
Southwark,The Stratagem,3
Southwark Fair,The Beggars Opera,1
St Martin's Lane,The Stratagem,1
The Tiled Booth Blackheath,The Beggars Opera,1
Upper Moorfields,The Beggars Opera,2
"Windsor Castle Inn, King Street, Hammersmith",Hamlet,1
York Buildings,The Beggars Opera,3
York Buildings,The Devil to Pay,1
York Buildings,The Stratagem,1
